ij	-2	-1	0	1	2
11	0	0	1	0	0
12	0.2	0.8	0	0	0
13	0	0	0.6	0.4	0
14	0	0.4	0.6	0	0
21	0	0	0	0.8	0.2
22	0	0	1	0	0
23	0	0	0	0.4	0.6
24	0	0	0.2	0.8	0
31	0	0.4	0.6	0	0
32	0.6	0.4	0	0	0
33	0	0	1	0	0
34	0.8	0.2	0	0	0
41	0	0	0.6	0.4	0
42	0	0.8	0.2	0	0
43	0	0	0	0.2	0.8
44	0	0	1	0	0

ij	-2	-1	0	1	2
11	0	0	1	0	0
12	0	0	0.8	0.2	0
13	0	0	0.2	0.8	0
14	0	0	0	0.2	0.8
21	0	0.2	0.8	0	0
22	0	0	1	0	0
23	0	0	0.4	0.6	0
24	0	0	0	0.4	0.6
31	0	0.8	0.2	0	0
32	0	0.6	0.4	0	0
33	0	0	1	0	0
34	0	0	0	1	0
41	0.8	0.2	0	0	0
42	0.6	0.4	0	0	0
43	0	1	0	0	0
44	0	0	1	0	0

ij	-2	-1	0	1	2
11	0	0	1	0	0
12	0	0	0.8	0.2	0
13	0	0	0.22	0.78	0
14	0	0	0	0.51	0.49
21	0	0.2	0.8	0	0
22	0	0	1	0	0
23	0	0	0.4	0.6	0
24	0	0	0	0.6	0.4
31	0	0.78	0.22	0	0
32	0	0.6	0.4	0	0
33	0	0	1	0	0
34	0	0	0	1	0
41	0.49	0.51	0	0	0
42	0.4	0.6	0	0	0
43	0	1	0	0	0
44	0	0	1	0	0

ij	-2	-1	0	1	2
11	0	0	1	0	0
12	0	0	0.2	0.8	0
13	0	0	0	0.8	0.2
14	0	0	0	0.4	0.6
21	0	0.8	0.2	0	0
22	0	0	1	0	0
23	0	0	0.6	0.4	0
24	0	0	0.2	0.8	0
31	0.2	0.8	0	0	0
32	0	0.4	0.6	0	0
33	0	0	1	0	0
34	0	0	0.6	0.4	0
41	0.6	0.4	0	0	0
42	0	0.8	0.2	0	0
43	0	0.4	0.6	0	0
44	0	0	1	0	0
