ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0	0.10	0.20	0.30	0.15	0.25	0
13	0.10	0.15	0.20	0.10	0.20	0.15	0.10
14	0	0.05	0.15	0.10	0.20	0.50	0
21	0	0.25	0.15	0.30	0.20	0.10	0
22	0	0	0	1	0	0	0
23	0.05	0.10	0.20	0.05	0.35	0.05	0
24	0	0	0.30	0.20	0.15	0.20	0.15
31	0.10	0.15	0.20	0.10	0.20	0.15	0.10
32	0	0.05	0.35	0.05	0.20	0.10	0.05
33	0	0	0	1	0	0	0
34	0	0	0	0.35	0.15	0.40	0.10
41	0	0.50	0.20	0.10	0.15	0.05	0
42	0.15	0.20	0.15	0.20	0.30	0	0
43	0.10	0.40	0.15	0.35	0	0	0
44	0	0	0	1	0	0	0

