	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.20	0.15	0.10	0.25	0.12	0.08	0.10
13	0.05	0.18	0.15	0.17	0.28	0.10	0.07
14	0	0.23	0.18	0.25	0.19	0.15	0
21	0.10	0.08	0.12	0.25	0.10	0.15	0.20
22	0	0	0	1	0	0	0
23	0.06	0.16	0.23	0.20	0.25	0.10	0
24	0	0.20	0.20	0.18	0.26	0.10	0.06
31	0.07	0.10	0.28	0.17	0.15	0.18	0.05
32	0	0.10	0.25	0.20	0.23	0.16	0.06
33	0	0	0	1	0	0	0
34	0.06	0.24	0.09	0.25	0.20	0.16	0
41	0	0.15	0.19	0.25	0.18	0.23	0
42	0.06	0.10	0.26	0.18	0.20	0.20	0
43	0	0.16	0.20	0.25	0.09	0.24	0.06
44	0	0	0	1	0	0	0

